CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,Duration_Months 
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2638,12
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,2456,12
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2833,12
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,1309,12
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2153,12
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,1317,12
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,2991,12
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,1278,12
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1296,12
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,1168,12
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,2502,12
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,2855,12
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,1807,12
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,1078,12
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2285,12
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,1960,12
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2631,12
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,2485,12
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1980,12
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,2443,12
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1728,12
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,1360,12
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2787,12
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,1143,12
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2996,12
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,2040,12
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1873,12
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,1312,12
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2258,12
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,1921,12
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,1286,12
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,2597,12
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2275,12
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,1019,12
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2212,12
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,2511,12
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1308,12
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,1925,12
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1047,12
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,2639,12
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1829,12
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,1067,12
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,1125,12
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,2633,12
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2633,12
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,2850,12
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1845,12
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,2947,12
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2919,12
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,1052,12
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,2051,12
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,1800,12
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2183,12
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,1066,12
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2068,12
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,1917,12
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1222,12
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,2805,12
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,2278,12
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,1180,12
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2251,12
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,2147,12
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2601,12
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,2810,12
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2292,12
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,2537,12
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1904,12
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,1500,12
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1518,12
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,2980,12
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,1602,12
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,1705,12
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2865,12
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,1299,12
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2711,12
